pwsid,pwsname,pctpov,pcthisp,health,medianincomehouse,violation,pcthisp_bin,pctpov_bin
AK2250011,KODIAK WATER SYSTEM,14.600000381469728,9.068506240844728,0,58670,FALSE,"(0,10]","(10,20]"
AK2250011,KODIAK WATER SYSTEM,15.199999809265137,8.0213041305542,0,60972,FALSE,"(0,10]","(10,20]"
AK2250011,KODIAK WATER SYSTEM,13.300000190734863,7.545063018798828,0,59286,FALSE,"(0,10]","(10,20]"
AK2260197,DILLINGHAM WATER SYSTEM,12.600000381469728,3.1929662227630615,1,69792,TRUE,"(0,10]","(10,20]"
AK2260197,DILLINGHAM WATER SYSTEM,12.899999618530272,3.5714285373687744,1,68036,TRUE,"(0,10]","(10,20]"
AK2260294,SAND POINT WATER SYSTEM,9,10.082769393920898,2,63750,TRUE,"(10,20]","(0,10]"
AK2260294,SAND POINT WATER SYSTEM,27.100000381469727,16.013071060180664,0,67000,FALSE,"(10,20]","(20,30]"
AK2260309,UNALASKA WATER SYSTEM,11.5,25.975473403930664,0,80625,FALSE,"(20,30]","(10,20]"
AK2260309,UNALASKA WATER SYSTEM,11.5,13.808034896850586,0,85455,FALSE,"(10,20]","(10,20]"
AK2260309,UNALASKA WATER SYSTEM,9.899999618530272,15.720318794250488,0,86625,FALSE,"(10,20]","(0,10]"
AK2260309,UNALASKA WATER SYSTEM,8.600000381469727,12.448418617248535,0,89706,FALSE,"(10,20]","(0,10]"
AK2270312,CITY OF HOOPER BAY,44.70000076293945,1.1494252681732178,1,34375,TRUE,"(0,10]","(40,50]"
AK2270312,CITY OF HOOPER BAY,41.29999923706055,1.1023621559143066,2,35938,TRUE,"(0,10]","(40,50]"
AK2270312,CITY OF HOOPER BAY,41.400001525878906,1.3389121294021606,3,37159,TRUE,"(0,10]","(40,50]"
AK2270312,CITY OF HOOPER BAY,41.20000076293945,0.3273322284221649,0,34464,FALSE,"(0,10]","(40,50]"
AK2270346,BETHEL HEIGHTS WATER SYSTEM,8.100000381469727,3.3465871810913086,0,91302,FALSE,"(0,10]","(0,10]"
AK2270346,BETHEL HEIGHTS WATER SYSTEM,12.399999618530272,2.931596040725708,0,90779,FALSE,"(0,10]","(10,20]"
AK2270346,BETHEL HEIGHTS WATER SYSTEM,12.199999809265137,3.0014522075653076,0,77500,FALSE,"(0,10]","(10,20]"
AK2293205,CORDOVA CITY WATER,1.7999999523162842,0.2810116410255432,0,72125,FALSE,"(0,10]","(0,10]"
AK2293205,CORDOVA CITY WATER,1.899999976158142,1.5215554237365725,0,79750,FALSE,"(0,10]","(0,10]"
AK2293205,CORDOVA CITY WATER,2,1.4338386058807373,0,91477,FALSE,"(0,10]","(0,10]"
AK2293205,CORDOVA CITY WATER,1,0.8448540568351746,0,96875,FALSE,"(0,10]","(0,10]"
AK2298103,VALDEZ WATER SYSTEM - MAIN,4.699999809265137,1.3719512224197388,0,69536,FALSE,"(0,10]","(0,10]"
AK2298103,VALDEZ WATER SYSTEM - MAIN,5.099999904632568,0.8128015995025635,0,73068,FALSE,"(0,10]","(0,10]"
AK2298103,VALDEZ WATER SYSTEM - MAIN,5.5,7.067137718200684,0,80476,FALSE,"(0,10]","(0,10]"
AK2298103,VALDEZ WATER SYSTEM - MAIN,7.800000190734863,7.909887313842773,0,93625,FALSE,"(0,10]","(0,10]"
AK2310675,NORTH POLE UTILITIES,9.199999809265137,7.563024997711182,0,61225,FALSE,"(0,10]","(0,10]"
AK2310675,NORTH POLE UTILITIES,6.099999904632568,6.932021617889404,0,66339,FALSE,"(0,10]","(0,10]"
AK2310675,NORTH POLE UTILITIES,5.699999809265137,5.851297855377197,0,71250,FALSE,"(0,10]","(0,10]"
AK2310675,NORTH POLE UTILITIES,8.5,5.800359725952148,0,66250,FALSE,"(0,10]","(0,10]"
AK2310900,COLLEGE UTILITIES CORPORATION,11,7.251908302307129,0,51320,FALSE,"(0,10]","(10,20]"
AK2310900,COLLEGE UTILITIES CORPORATION,10.5,7.245686054229736,0,55409,FALSE,"(0,10]","(10,20]"
AK2310900,COLLEGE UTILITIES CORPORATION,12.100000381469728,7.903715133666992,0,54572,FALSE,"(0,10]","(10,20]"
AK2340010,NOME JOINT UTILITY SYSTEM,5.699999809265137,0.6251776218414307,0,67231,FALSE,"(0,10]","(0,10]"
AK2340010,NOME JOINT UTILITY SYSTEM,6,2.293706178665161,0,69522,FALSE,"(0,10]","(0,10]"
AK2340010,NOME JOINT UTILITY SYSTEM,9.800000190734863,1.8691588640213013,1,71516,TRUE,"(0,10]","(0,10]"
AK2340010,NOME JOINT UTILITY SYSTEM,10.300000190734863,2.477538824081421,0,71643,FALSE,"(0,10]","(10,20]"
AK2340060,KOTZEBUE MUN. WATER SYSTEM,15.300000190734863,1.1327879428863523,4,66908,TRUE,"(0,10]","(10,20]"
AK2340060,KOTZEBUE MUN. WATER SYSTEM,15.600000381469728,1.811367869377136,3,71761,TRUE,"(0,10]","(10,20]"
AK2340060,KOTZEBUE MUN. WATER SYSTEM,14.5,1.4506173133850098,4,74830,TRUE,"(0,10]","(10,20]"
AK2340060,KOTZEBUE MUN. WATER SYSTEM,15.800000190734863,1.907692313194275,4,81354,TRUE,"(0,10]","(10,20]"
AL0000001,AUTAUGA CO WATER AUTHORITY,8.699999809265137,3.0788867473602295,0,58979,FALSE,"(0,10]","(0,10]"
AL0000001,AUTAUGA CO WATER AUTHORITY,10.199999809265137,3.169325590133667,0,60617,FALSE,"(0,10]","(10,20]"
